soil_type,ph_level,rainfall,temperature,humidity,crop
clay,6.5,1200,25,80,rice
sandy,7.0,800,30,60,groundnut
loamy,6.8,1000,28,75,wheat
clay,6.2,1100,24,85,rice
sandy,7.5,600,32,55,millet
loamy,6.9,950,27,70,wheat
clay,6.4,1300,26,82,rice
sandy,7.2,750,31,58,groundnut
loamy,6.7,1050,28,72,wheat
clay,6.3,1150,25,83,rice
sandy,7.1,850,29,62,groundnut
loamy,6.8,980,27,74,wheat
clay,6.6,1250,25,81,rice
sandy,7.3,700,33,57,millet
loamy,6.9,1020,28,73,wheat
clay,6.5,1180,26,84,rice
sandy,7.0,820,30,61,groundnut
loamy,6.7,970,27,76,wheat
clay,6.4,1280,25,86,rice
sandy,7.4,650,32,59,millet
