nitrogen,phosphorus,potassium,temperature,humidity,ph,rainfall,soil_type,season,region,crop_name,yield_per_acre,quality_grade,demand_index,transport_cost,price_per_kg,recommended_crop
90,42,43,20.8,82.0,6.5,202.9,loamy,kharif,tamil_nadu,rice,4500,A,8.5,12.5,28.5,rice
85,58,41,21.7,80.3,7.0,226.6,clay,kharif,tamil_nadu,rice,4200,A,8.2,13.0,27.0,rice
60,55,44,23.0,82.5,6.8,175.6,sandy,rabi,karnataka,wheat,3800,A,7.8,15.0,32.0,wheat
74,35,40,26.5,65.0,7.2,250.5,loamy,kharif,maharashtra,cotton,2200,B,7.5,18.0,65.0,cotton
78,42,42,20.1,81.6,6.7,200.2,clay,kharif,tamil_nadu,rice,4600,A,8.6,12.0,29.0,rice
69,37,42,23.3,83.4,6.4,175.2,sandy,rabi,andhra_pradesh,wheat,3900,A,7.9,14.5,31.5,wheat
90,42,38,26.2,66.5,7.0,260.0,loamy,kharif,gujarat,cotton,2100,B,7.6,19.0,63.0,cotton
85,60,40,22.5,78.0,6.9,210.0,clay,kharif,tamil_nadu,rice,4400,A,8.4,12.8,28.0,rice
65,50,45,24.0,75.0,7.1,180.0,sandy,rabi,karnataka,wheat,4000,A,8.0,14.0,33.0,wheat
75,40,42,25.5,68.0,7.3,240.0,loamy,kharif,maharashtra,cotton,2300,B,7.7,17.5,64.0,cotton
80,45,44,21.0,79.0,6.6,215.0,clay,kharif,tamil_nadu,rice,4550,A,8.7,12.2,29.5,rice
70,38,41,22.8,81.0,6.5,178.0,sandy,rabi,andhra_pradesh,wheat,3850,A,7.7,15.2,30.5,wheat
72,36,43,27.0,64.0,7.4,255.0,loamy,kharif,gujarat,cotton,2150,B,7.4,18.5,62.5,cotton
88,48,39,20.5,83.0,6.8,208.0,clay,kharif,tamil_nadu,rice,4700,A,8.8,11.8,30.0,rice
62,52,46,23.5,76.0,7.2,182.0,sandy,rabi,karnataka,wheat,3950,A,8.1,14.8,32.5,wheat
76,39,40,26.0,67.0,7.1,245.0,loamy,kharif,maharashtra,cotton,2250,B,7.8,17.0,65.5,cotton
82,44,41,21.2,80.0,6.7,212.0,clay,kharif,tamil_nadu,rice,4450,A,8.3,13.0,27.5,rice
68,54,44,24.2,74.0,7.0,185.0,sandy,rabi,andhra_pradesh,wheat,4050,A,8.2,13.5,34.0,wheat
74,37,42,25.8,69.0,7.5,235.0,loamy,kharif,gujarat,cotton,2200,B,7.5,18.0,63.5,cotton
86,46,38,20.0,84.0,6.9,205.0,clay,kharif,tamil_nadu,rice,4650,A,8.9,12.0,30.5,rice
64,56,47,22.0,77.0,7.3,188.0,sandy,rabi,karnataka,wheat,4100,A,8.3,14.0,35.0,wheat
78,41,39,26.8,63.0,7.2,250.0,loamy,kharif,maharashtra,cotton,2350,B,7.9,16.5,66.0,cotton
84,43,40,21.5,81.0,6.6,218.0,clay,kharif,tamil_nadu,rice,4500,A,8.5,12.5,28.5,rice
66,51,45,23.8,75.0,7.1,190.0,sandy,rabi,andhra_pradesh,wheat,4000,A,8.0,14.5,33.5,wheat
73,38,41,27.2,62.0,7.4,248.0,loamy,kharif,gujarat,cotton,2180,B,7.6,18.2,62.8,cotton
89,47,37,20.3,82.0,6.8,207.0,clay,kharif,tamil_nadu,rice,4680,A,8.6,12.3,29.2,rice
63,53,46,24.5,73.0,7.2,183.0,sandy,rabi,karnataka,wheat,3980,A,7.9,14.2,31.8,wheat
77,40,43,25.2,70.0,7.0,242.0,loamy,kharif,maharashtra,cotton,2280,B,7.7,17.2,64.2,cotton
81,45,42,21.8,79.0,6.7,214.0,clay,kharif,tamil_nadu,rice,4520,A,8.4,12.6,28.8,rice
